exp_id,model,epochs,peak_auc,peak_auc_epoch,final_auc,final_auc_last10_mean,auc_drop_peak_to_final,min_val_loss,min_val_loss_epoch,final_val_loss,loss_rise_min_to_final
s1_01,ResNet50 + 2 locals + cross-attn + linear,100,0.6693551453518799,2.0,0.6171292540752125,0.6123723088062458,-0.052225891276667435,1.0148630761910997,4.0,2.3778303924620903,1.3629673162709905
s1_02,ResNet50 + 2 locals + cross-attn + mlp,100,0.6826018773017009,2.0,0.6184162706738362,0.6234309610130512,-0.06418560662786466,1.0002040489325448,2.0,2.4686312670806174,1.4684272181480726
s1_03,ResNet50 + 2 locals + concat + linear,100,0.66456907049571,88.0,0.6588211526218997,0.6509530376463332,-0.005747917873810349,1.0182841916879017,46.0,1.0324714245304227,0.014187232842520991
s1_04,ResNet50 + 2 locals + concat + mlp,100,0.6366187992219431,74.0,0.6247256322967489,0.6249693640937213,-0.011893166925194154,1.0480796481881824,1.0,1.9865929358800511,0.9385132876918687
s1_05,BioMedCLIP + 2 locals + cross-attn + linear,100,0.669513181497214,45.0,0.6632148152751923,0.6634528050753179,-0.006298366222021623,1.0004988287885983,9.0,1.4235347621734178,0.4230359333848195
s1_06,BioMedCLIP + 2 locals + cross-attn + mlp,100,0.6740635946986474,22.0,0.6551889416154799,0.6557050679554741,-0.018874653083167492,0.9980756902978535,7.0,1.7898880940093291,0.7918124037114757
s1_07,BioMedCLIP + 2 locals + concat + linear,100,0.6593805778261561,69.0,0.6576870193700192,0.657611285081641,-0.0016935584561369454,1.026727220013974,31.0,1.0775187155084005,0.05079149549442641
s1_08,BioMedCLIP + 2 locals + concat + mlp,100,0.6760393584328975,33.0,0.6617201318794166,0.6620605047033178,-0.014319226553480946,0.9698991051742009,6.0,1.2251196806392972,0.25522057546509636
s1_09,CLIP + 2 locals + cross-attn + linear,100,0.6925451468677429,52.0,0.6817875171261644,0.6816550383695088,-0.010757629741578567,0.9660879252921968,18.0,1.1058981038984799,0.1398101786062831
s1_10,CLIP + 2 locals + cross-attn + mlp,100,0.6920348476991798,10.0,0.6816907509582072,0.6820490190231088,-0.010344096740972586,0.9914636684670335,9.0,1.6816840616779192,0.6902203932108857
s1_11,CLIP + 2 locals + concat + linear,100,0.6907842733489551,75.0,0.6906593315422921,0.6905745500292069,-0.0001249418066630037,1.0143767264154222,88.0,1.0146329095439308,0.0002561831285086136
s1_12,CLIP + 2 locals + concat + mlp,100,0.6944606094076622,9.0,0.6796170505974475,0.6793066042828105,-0.014843558810214708,0.9689959524169799,15.0,1.136241077075875,0.16724512465889518
s1_13,ResNet50 + 3 streams + cross-attn + linear,100,0.6720385332356434,6.0,0.6344022046190586,0.6209688616610869,-0.037636328616584835,0.9744331857987811,6.0,2.0945446368118392,1.120111451013058
s1_14,ResNet50 + 3 streams + cross-attn + mlp,100,0.6359906781814423,4.0,0.6060624654481028,0.6041547928214006,-0.029928212733339454,1.0594091441423175,2.0,2.393415737450437,1.3340065933081193
s1_15,ResNet50 + 3 streams + concat + linear,100,0.6654718666185738,44.0,0.6575957452509597,0.6582843313382577,-0.007876121367614175,1.0081849221199277,44.0,1.0326391736429836,0.024454251523055914
s1_16,ResNet50 + 3 streams + concat + mlp,100,0.6520029428056332,2.0,0.6314689662929699,0.6318706214993195,-0.02053397651266331,1.049880476698043,1.0,2.0783697498670324,1.0284892731689894
s1_17,BioMedCLIP + 3 streams + cross-attn + linear,100,0.6850481953478279,32.0,0.6762150323589887,0.6764657622058012,-0.008833162988839183,1.0102466638126073,10.0,1.4387908830558733,0.428544219243266
s1_18,BioMedCLIP + 3 streams + cross-attn + mlp,100,0.6834012291357009,8.0,0.6679054251165423,0.6669488739841984,-0.015495804019158621,0.9898490522589002,7.0,1.8627018367054884,0.8728527844465882
s1_19,BioMedCLIP + 3 streams + concat + linear,100,0.6585343788020477,78.0,0.6579604978913611,0.6578566804013148,-0.0005738809106865528,1.0619161509805257,27.0,1.1489459527508605,0.08702980177033481
s1_20,BioMedCLIP + 3 streams + concat + mlp,100,0.6769752093952961,6.0,0.6734689952370937,0.6731976679765601,-0.003506214158202403,0.9741367527416774,7.0,1.278336299701579,0.3041995469599016
s1_21,CLIP + 3 streams + cross-attn + linear,100,0.6988184450510043,27.0,0.6889637727414891,0.688595242283589,-0.0098546723095152,0.9632412477854697,28.0,1.1097979025235252,0.14655665473805546
s1_22,CLIP + 3 streams + cross-attn + mlp,100,0.7195256137140712,13.0,0.6868583398761425,0.686484849226791,-0.03266727383792867,0.9779535718853511,11.0,1.659248374698181,0.6812948028128298
s1_23,CLIP + 3 streams + concat + linear,100,0.7008809558657624,91.0,0.7004085029821802,0.7005156023844485,-0.0004724528835822195,1.0017256684719569,91.0,1.0027177229760187,0.0009920545040618123
s1_24,CLIP + 3 streams + concat + mlp,100,0.7152777877470695,12.0,0.6982916399489911,0.6981833183518107,-0.016986147798078388,0.9412413963249752,15.0,1.1393291658707083,0.19808776954573315
