exp_id,model,peak_auc,peak_auc_epoch,final_auc,last10_auc,auc_drop,min_vloss,min_vloss_epoch,final_vloss,loss_rise,final_tloss,final_gap
s1_11,CLIP + 2 locals + concat + linear,0.6907842733489551,75.0,0.6906593315422921,0.6905745500292069,-0.0001249418066630037,1.0143767264154222,88.0,1.0146329095439308,0.0002561831285086136,0.8909443090488384,0.12368860049509245
s1_15,ResNet50 + 3 streams + concat + linear,0.6654718666185738,44.0,0.6575957452509597,0.6582843313382577,-0.007876121367614175,1.0081849221199277,44.0,1.0326391736429836,0.024454251523055914,0.565576260804614,0.46706291283836965
s1_19,BioMedCLIP + 3 streams + concat + linear,0.6585343788020477,78.0,0.6579604978913611,0.6578566804013148,-0.0005738809106865528,1.0619161509805257,27.0,1.1489459527508605,0.08702980177033481,0.462951336418847,0.6859946163320135
s1_21,CLIP + 3 streams + cross-attn + linear,0.6988184450510043,27.0,0.6889637727414891,0.688595242283589,-0.0098546723095152,0.9632412477854697,28.0,1.1097979025235252,0.14655665473805546,0.5490157221851153,0.5607821803384099
s1_22,CLIP + 3 streams + cross-attn + mlp,0.7195256137140712,13.0,0.6868583398761425,0.686484849226791,-0.03266727383792867,0.9779535718853511,11.0,1.659248374698181,0.6812948028128298,0.18538306849692177,1.4738653062012592
s1_23,CLIP + 3 streams + concat + linear,0.7008809558657624,91.0,0.7004085029821802,0.7005156023844485,-0.0004724528835822195,1.0017256684719569,91.0,1.0027177229760187,0.0009920545040618123,0.8666179287227201,0.13609979425329854
s1_24,CLIP + 3 streams + concat + mlp,0.7152777877470695,12.0,0.6982916399489911,0.6981833183518107,-0.016986147798078388,0.9412413963249752,15.0,1.1393291658707083,0.19808776954573315,0.4146137493158573,0.724715416554851
